id,name,latitude,longitude,2015
1,New Orleans,30.0326,-89.8826,164
2,Baltimore,39.2846,-76.7606,344
3,Chicago,41.85,-87.65,492
4,Las Vegas,36.2551,-115.2383,125
5,Denver,39.7392,-104.9842,54
6,Detroit,42.3524,-83.3794,295
7,Houston,29.7631,-95.3631,303
8,Los Angeles,34.0522,-118.2428,283
9,Miami,25.7738,-80.1924,75
10,New York,40.7142,-74.0064,352
11,Philadelphia,39.9522,-75.1642,264
12,Phoenix,33.4539,-112.0746,113
13,San Francisco,37.775,-122.4183,53
14,Seattle,47.6097,-122.3331,23
15,Washington D.C.,38.89,-77.03,162
16,St. Louis,38.6530169,-90.3835463,159
